name,asian_end_utc_minute,london_start_local_minute,london_end_local_minute,fixed_utc_window,require_ema_alignment,label,window,trades,wins,losses,final_balance,return_pct,profit_factor,max_realized_drawdown,fees,example_entries
Legacy fixed UTC,390,420,630,True,False,Asia 00:00-06:30 UTC | UTC 07:00-10:30 | no-EMA,Development (2019-09 to 2022-12),46,12,34,72.7921,-27.2079,0.383902424395375,34.9202,10.8148,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-02-28 07:55 UTC / 07:55 GMT LONG; 2020-03-13 07:40 UTC / 07:40 GMT SHORT; 2020-03-16 09:30 UTC / 09:30 GMT LONG; 2020-03-17 08:35 UTC / 08:35 GMT LONG
London local / Asia 06:00,360,480,630,False,False,Asia 00:00-06:00 UTC | Europe/London 08:00-10:30 | no-EMA,Development (2019-09 to 2022-12),34,6,28,72.9805,-27.0195,0.25643468290083454,29.2242,8.2552,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-02-28 08:05 UTC / 08:05 GMT LONG; 2020-03-13 08:00 UTC / 08:00 GMT SHORT; 2020-03-16 09:30 UTC / 09:30 GMT LONG; 2020-03-17 08:25 UTC / 08:25 GMT LONG
London local / Asia 06:30,390,480,630,False,False,Asia 00:00-06:30 UTC | Europe/London 08:00-10:30 | no-EMA,Development (2019-09 to 2022-12),39,10,29,76.0144,-23.9856,0.3874180932398551,29.243,9.6784,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-02-28 08:00 UTC / 08:00 GMT LONG; 2020-03-13 08:00 UTC / 08:00 GMT SHORT; 2020-03-16 09:30 UTC / 09:30 GMT LONG; 2020-03-17 08:35 UTC / 08:35 GMT LONG
London local / Asia 07:00,420,480,630,False,False,Asia 00:00-07:00 UTC | Europe/London 08:00-10:30 | no-EMA,Development (2019-09 to 2022-12),37,10,27,77.987,-22.013,0.4116669775354207,27.2704,9.1382,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-02-28 08:00 UTC / 08:00 GMT LONG; 2020-03-13 08:00 UTC / 08:00 GMT SHORT; 2020-03-16 09:30 UTC / 09:30 GMT LONG; 2020-03-18 08:00 UTC / 08:00 GMT LONG
London local extended,390,480,660,False,False,Asia 00:00-06:30 UTC | Europe/London 08:00-11:00 | no-EMA,Development (2019-09 to 2022-12),44,10,34,70.7617,-29.2383,0.3367288707256064,34.4957,10.4825,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-02-28 08:00 UTC / 08:00 GMT LONG; 2020-03-13 08:00 UTC / 08:00 GMT SHORT; 2020-03-16 09:30 UTC / 09:30 GMT LONG; 2020-03-17 08:35 UTC / 08:35 GMT LONG
London local + EMA,390,480,630,False,True,Asia 00:00-06:30 UTC | Europe/London 08:00-10:30 | EMA200,Development (2019-09 to 2022-12),5,2,3,98.3099,-1.6901,0.6675767509792098,3.4495,1.2941,2019-12-04 09:05 UTC / 09:05 GMT SHORT; 2020-04-07 07:30 UTC / 08:30 BST LONG; 2021-01-11 08:45 UTC / 08:45 GMT SHORT; 2021-11-19 09:25 UTC / 09:25 GMT LONG; 2022-07-08 08:05 UTC / 09:05 BST LONG
Legacy fixed UTC,390,420,630,True,False,Asia 00:00-06:30 UTC | UTC 07:00-10:30 | no-EMA,Legacy fixed UTC — Validation (2023-2024),12,4,8,93.1585,-6.8415,0.4840916900582811,7.3343,4.4753,2023-02-10 09:15 UTC / 09:15 GMT SHORT; 2023-03-13 09:55 UTC / 09:55 GMT SHORT; 2023-03-15 10:00 UTC / 10:00 GMT LONG; 2023-03-20 09:20 UTC / 09:20 GMT SHORT; 2024-04-15 08:50 UTC / 09:50 BST LONG
London local / Asia 07:00,420,480,630,False,False,Asia 00:00-07:00 UTC | Europe/London 08:00-10:30 | no-EMA,Development-selected timing — Validation (2023-2024),11,5,6,98.6797,-1.3203,0.8581891927040417,2.8538,4.1659,2023-02-10 09:15 UTC / 09:15 GMT SHORT; 2023-03-13 09:55 UTC / 09:55 GMT SHORT; 2023-03-15 10:00 UTC / 10:00 GMT LONG; 2023-03-20 09:20 UTC / 09:20 GMT SHORT; 2024-04-15 08:50 UTC / 09:50 BST LONG
Legacy fixed UTC,390,420,630,True,False,Asia 00:00-06:30 UTC | UTC 07:00-10:30 | no-EMA,Legacy fixed UTC — Holdout (2025 onward),84,22,62,43.8689,-56.1311,0.2793653653702434,57.6138,27.8735,2025-02-04 08:10 UTC / 08:10 GMT LONG; 2025-02-11 09:00 UTC / 09:00 GMT LONG; 2025-02-27 07:40 UTC / 07:40 GMT LONG; 2025-03-10 07:55 UTC / 07:55 GMT LONG; 2025-04-03 07:15 UTC / 08:15 BST LONG
London local / Asia 07:00,420,480,630,False,False,Asia 00:00-07:00 UTC | Europe/London 08:00-10:30 | no-EMA,Development-selected timing — Holdout (2025 onward),67,15,52,46.2863,-53.7137,0.20310337634843922,55.1964,22.6117,2025-02-04 08:10 UTC / 08:10 GMT LONG; 2025-02-11 09:00 UTC / 09:00 GMT LONG; 2025-02-27 09:25 UTC / 09:25 GMT LONG; 2025-03-10 09:10 UTC / 09:10 GMT LONG; 2025-04-04 09:00 UTC / 10:00 BST LONG
